Ref;Tipo;Nickname;Nombre;Correo;Contraseña;Imagen
US01;A;atorres;Ana;atorres@gmail.com;123.torres;IMG-US01.jpg
US02;A;msilva;Martin;martin.silva@fing.edu.uy;msilva2025;asd
US03;A;sofirod;Sofia;srodriguez@outlook.com;srod.abc1;IMG-US03.jpeg
US04;O;miseventos;MisEventos;contacto@miseventos.com;22miseventos;IMG-US04.jpeg
US05;O;techcorp;Corporación Tecnológica;info@techcorp.com;tech25corp;asd
US06;O;imm;Intendencia de Montevideo;contacto@imm.gub.uy;imm2025;IMG-US06.png
US07;A;vale23;Valentina;valentina.costa@mail.com;valen11c;IMG-US07.jpeg
US08;A;luciag;Lucía;lucia.garcia@mail.com;garcia.22l;IMG-US08.jpeg
US09;A;andrearod;Andrea;andrea.rod@mail.com;rod77and;IMG-US09.jpeg
US10;O;udelar;Universidad de la República;contacto@udelar.edu.uy;25udelar;asd
US11;O;mec;Ministerio de Educación y Cultura;mec@mec.gub.uy;mec2025ok;IMG-US11.png
US12;A;AnaG;Ana;ana.gomez@hotmail.com;gomez88a;IMG-US12.png
US13;A;JaviL;Javier;javier.lopez@outlook.com;jl99lopez;IMG-US13.jpeg
US14;A;MariR;María;maria.rodriguez@gmail.com;maria55r;IMG-US14.jpeg
US15;A;SofiM;Sofía;sofia.martinez@yahoo.com;smarti99z;IMG-US15.jpeg
